"","hylak_id","hybas_id","elevation","centr_lat","centr_lon"
"15791",1411871,1122176240,1649,-12.5533991495,16.0124402702
"15792",1411910,1122178770,1708,-12.7571641505,15.9053598855
"15793",1411963,1101387300,1562,-12.9838481001,30.8439083596
"15794",1412058,1121390290,1595,-13.2703487839,15.9472289394
"15795",1412321,1121409570,1572,-14.3133304612,48.7275510339
"15796",1412330,1121411950,1644,-14.3250030315,48.5817364403
"15797",1412335,1121411950,1594,-14.3337716425,48.5898736879
"15798",1412339,1121411950,1600,-14.3428736957,48.5899147946
"15799",1412349,1070037300,1639,-14.3497700146,48.6053271727
"15800",1412667,1121418040,1994,-14.841956761,13.4314461019
"15801",1412683,1121418910,1590,-14.8756797276,13.6647964831
"15802",1414456,1121458330,1525,-17.0781167696,30.7578886426
"15803",1414458,1121458330,1506,-17.08514477,30.7794360036
"15804",1414478,1121458330,1526,-17.1121836229,30.7612254114
"15805",1414496,1121458330,1544,-17.1269862904,30.7471710574
"15806",1414512,1121464000,1514,-17.1475802485,30.7952979494
"15807",1414529,1121464000,1531,-17.1775804454,30.7526428859
"15808",1414560,1121464000,1504,-17.2101939418,30.7263032849
"15809",1415036,1121478030,1531,-17.8417574305,31.1499522942
"15810",1415086,1121478850,1512,-17.9206110832,31.2367706741
"15811",1415161,1121479260,1506,-18.0235551802,31.3474353304
"15812",1415183,1121479260,1516,-18.0451933953,31.2901035633
"15813",1415185,1121476810,1517,-18.0481749786,31.8742258663
"15814",1415196,1122224730,1520,-18.0643298709,31.6468012766
"15815",1415207,1121478260,1514,-18.0840407607,31.4540389422
"15816",1415213,1121478510,1821,-18.0922074882,32.839774844
"15817",1415220,1122224170,1505,-18.1014360591,31.7340297935
"15818",1415222,1121478260,1546,-18.1031240341,31.4102336285
"15819",1415226,1121478380,1542,-18.1086599592,31.527210992
"15820",1415229,1121478510,1910,-18.1049971906,32.8144151889
"15821",1415234,1121478380,1557,-18.1260066428,31.5164758838
"15822",1415237,1122224730,1513,-18.1338417953,31.6550466111
"15823",1415242,1121478380,1578,-18.1400296826,31.511954242
"15824",1415247,1121478380,1584,-18.1456969274,31.5466057335
"15825",1415250,1121479380,1563,-18.146134516,31.3763037724
"15826",1415252,1061450450,2225,-18.1580349427,32.7877382726
"15827",1415262,1121479380,1593,-18.1719088536,31.4484248503
"15828",1415263,1122224730,1585,-18.1708123741,31.6155209475
"15829",1415265,1121479380,1614,-18.1730559344,31.4712542079
"15830",1415266,1122224730,1600,-18.1775914658,31.6072781242
"15831",1415283,1121483450,1562,-18.194508983,31.7261199183
"15832",1415285,1121483450,1524,-18.2140439227,31.7483002371
"15833",1415288,1122226450,1527,-18.2188488685,31.6727812102
"15834",1415289,1121485550,1600,-18.22061145,31.55408209
"15835",1415296,1122226450,1543,-18.232847912,31.6110402349
"15836",1415318,1121483510,1665,-18.2792091641,32.6973476951
"15837",1415324,1121485400,1517,-18.2874009999,31.9313802374
"15838",1415329,1122227040,1541,-18.3022170275,31.3774087546
"15839",1415331,1122227220,1518,-18.3059668734,32.0793330101
"15840",1415336,1121485660,1516,-18.3123475322,31.423861578
"15841",1415339,1122227220,1506,-18.3151016605,32.0917993308
"15842",1415342,1121483510,1764,-18.3351860059,32.7083616797
"15843",1415357,1121487970,1541,-18.3572360593,32.2108826664
"15844",1415360,1121483590,1714,-18.3646364667,32.5614862252
"15845",1415384,1121489550,1503,-18.3950514165,31.3427488339
"15846",1415548,1122230250,1519,-18.7657595017,32.7288408333
"15847",1415549,1122230250,1546,-18.7656199787,32.7521916869
"15848",1415868,1071504140,1739,-19.3608014486,46.9617073879
"15849",1415913,1121505700,1555,-19.4716297052,47.4682878965
"15850",1415914,1121505700,1557,-19.4840921956,47.4650767186
"15851",1416053,1050036020,1525,-19.8235383742,46.9991634176
"15852",1416056,1121510860,1526,-19.8322820446,46.9765382477
"15853",1416416,1121523880,1522,-20.5241291907,17.0983760656
"15854",1416427,1121523880,1519,-20.5344220031,17.0647610203
"15855",1416457,1122242330,1575,-20.5711830501,16.7673921465
"15856",1416593,1122244240,1594,-20.7375148795,16.7264866969
"15857",1416616,1122244240,1549,-20.7648352749,16.7984136069
"15858",1416688,1121529830,1518,-20.8404999808,16.7709015812
"15859",1416776,1122246630,1509,-21.0101078301,16.5121950423
"15860",1416993,1121533310,1551,-21.2884630525,16.4384561215
"15861",1417019,1122247690,1553,-21.3338366302,16.5207236425
"15862",1417085,1122250140,1518,-21.5704652537,16.5608808197
"15863",1417115,1121538360,1517,-21.6943070926,17.0507945976
"15864",1417118,1121538360,1521,-21.703603562,17.0539147437
"15865",1417169,1122250730,1706,-21.8120874264,17.6823571356
"15866",1417213,1121544450,1609,-21.9149102053,18.1395042531
"15867",1417228,1122251780,1726,-21.9393219758,17.6289210939
"15868",1417238,1122251780,1731,-21.9603685764,17.6156412609
"15869",1417257,1122252210,1632,-22.0004750762,18.0552830688
"15870",1417272,1122251780,1765,-22.0347324809,17.5908970393
"15871",1417278,1121545080,1732,-22.0442486577,17.6717067745
"15872",1417280,1121545080,1745,-22.0467577502,17.6390141686
"15873",1417292,1121545080,1748,-22.0805596588,17.6458321207
"15874",1417298,1121546010,1695,-22.0891949007,17.8055611076
"15875",1417301,1122251780,1814,-22.0918855799,17.5244351201
"15876",1417388,1122254210,1569,-22.2889513486,17.9543469077
"15877",1417487,1121553010,1767,-22.5022269912,17.3591937194
"15878",1417499,1121553640,1584,-22.5285103312,17.0154811977
"15879",1417500,1121553010,1932,-22.5360532504,17.1966370086
"15880",1417526,1122256340,1595,-22.6670942371,16.4485326016
"15881",1417537,1121556450,1650,-22.6931799856,16.7467568198
"15882",1417574,1121560610,1782,-22.9229042416,16.8633445868
"15883",1417578,1121560130,1732,-22.9511259206,16.9917137457
"15884",1417594,1122259780,1559,-23.0564323967,17.2105920637
"15885",1417650,1122261110,1778,-23.330242251,16.3363725502
"15886",1417819,1122264860,1550,-23.8113435385,29.9679039714
"15887",1418392,1122270500,1513,-25.0122112181,29.7093675158
"15888",1418434,1122271180,1660,-25.1284439821,30.1584453735
"15889",1418596,1051576130,1791,-25.4567160919,29.7585313109
"15890",1418644,1122274170,1902,-25.5371024636,30.0946065918
"15891",1418653,1122274170,1872,-25.5516842352,30.1021449791
"15892",1418671,1122274170,1854,-25.5972051628,30.0917189377
"15893",1418676,1122274170,1859,-25.5972416767,30.0007587235
"15894",1418680,1122274170,1838,-25.6073700571,30.0293385198
"15895",1418686,1122274070,1713,-25.6161596398,29.72533589
"15896",1418687,1122274170,1833,-25.61723197,30.0169283608
"15897",1418712,1122274070,1610,-25.6551871419,29.6723766082
"15898",1418729,1121595510,1854,-25.6844495593,30.0219307359
"15899",1418741,1121595930,1705,-25.7064815801,29.7825445407
"15900",1418758,1121597330,1618,-25.7354780627,29.6297725807
"15901",1418760,1121597330,1597,-25.7411801152,29.615033116
"15902",1418766,1121598900,1849,-25.7547423641,30.0337675502
"15903",1418769,1122275000,1795,-25.7583893257,30.3551579456
"15904",1418774,1121597980,1623,-25.7673914104,29.6433423029
