lakeID	dateTime	localTZ	daylightSavings	wtr0.5	wtr4.5
Loch	2016-07-21 13:09:00	Mountain	yes	13.559	12.61
Loch	2016-07-21 13:39:00	Mountain	yes	13.629	11.917
Loch	2016-07-21 14:09:00	Mountain	yes	13.936	11.899
Loch	2016-07-21 14:39:00	Mountain	yes	14.102	11.926
Loch	2016-07-21 15:09:00	Mountain	yes	13.953	11.988
Loch	2016-07-21 15:39:00	Mountain	yes	13.936	11.988
Loch	2016-07-21 16:09:00	Mountain	yes	13.927	12.024
Loch	2016-07-21 16:39:00	Mountain	yes	13.901	11.997
Loch	2016-07-21 17:09:00	Mountain	yes	13.761	11.997
Loch	2016-07-21 17:39:00	Mountain	yes	13.752	12.086
Loch	2016-07-21 18:09:00	Mountain	yes	13.691	12.077
Loch	2016-07-21 18:39:00	Mountain	yes	13.638	12.051
Loch	2016-07-21 19:09:00	Mountain	yes	13.647	12.042
Loch	2016-07-21 19:39:00	Mountain	yes	13.647	11.97
Loch	2016-07-21 20:09:00	Mountain	yes	13.603	11.622
Loch	2016-07-21 20:39:00	Mountain	yes	13.542	11.245
Loch	2016-07-21 21:09:00	Mountain	yes	13.533	10.965
Loch	2016-07-21 21:39:00	Mountain	yes	13.471	10.911
Loch	2016-07-21 22:09:00	Mountain	yes	13.454	10.757
Loch	2016-07-21 22:39:00	Mountain	yes	13.392	10.53
Loch	2016-07-21 23:09:00	Mountain	yes	13.339	10.585
Loch	2016-07-21 23:39:00	Mountain	yes	13.304	10.485
Loch	2016-07-22 00:09:00	Mountain	yes	13.278	10.348
Loch	2016-07-22 00:39:00	Mountain	yes	13.207	10.248
Loch	2016-07-22 01:09:00	Mountain	yes	13.128	10.101
Loch	2016-07-22 01:39:00	Mountain	yes	13.075	10.101
Loch	2016-07-22 02:09:00	Mountain	yes	13.057	9.964
Loch	2016-07-22 02:39:00	Mountain	yes	13.022	9.881
Loch	2016-07-22 03:09:00	Mountain	yes	12.987	9.771
Loch	2016-07-22 03:39:00	Mountain	yes	12.907	9.744
Loch	2016-07-22 04:09:00	Mountain	yes	12.845	9.679
Loch	2016-07-22 04:39:00	Mountain	yes	12.765	9.679
Loch	2016-07-22 05:09:00	Mountain	yes	12.632	9.633
Loch	2016-07-22 05:39:00	Mountain	yes	12.508	9.559
Loch	2016-07-22 06:09:00	Mountain	yes	12.375	9.513
Loch	2016-07-22 06:39:00	Mountain	yes	12.241	9.522
Loch	2016-07-22 07:09:00	Mountain	yes	12.241	9.559
Loch	2016-07-22 07:39:00	Mountain	yes	11.641	10.11
Loch	2016-07-22 08:09:00	Mountain	yes	11.406	10.712
Loch	2016-07-22 08:39:00	Mountain	yes	11.686	10.992
Loch	2016-07-22 09:09:00	Mountain	yes	11.775	11.182
Loch	2016-07-22 09:39:00	Mountain	yes	11.829	11.146
Loch	2016-07-22 10:09:00	Mountain	yes	11.919	11.2
Loch	2016-07-22 10:39:00	Mountain	yes	12.294	11.335
Loch	2016-07-22 11:09:00	Mountain	yes	12.464	11.577
Loch	2016-07-22 11:39:00	Mountain	yes	12.57	11.774
Loch	2016-07-22 12:09:00	Mountain	yes	12.765	11.979
Loch	2016-07-22 12:39:00	Mountain	yes	12.925	12.095
Loch	2016-07-22 13:09:00	Mountain	yes	13.084	12.389
Loch	2016-07-22 13:39:00	Mountain	yes	13.401	12.566
Loch	2016-07-22 14:09:00	Mountain	yes	13.621	12.778
Loch	2016-07-22 14:39:00	Mountain	yes	13.962	12.928
Loch	2016-07-22 15:09:00	Mountain	yes	13.936	13.025
Loch	2016-07-22 15:39:00	Mountain	yes	14.207	13.104
Loch	2016-07-22 16:09:00	Mountain	yes	14.311	13.201
Loch	2016-07-22 16:39:00	Mountain	yes	14.485	13.165
Loch	2016-07-22 17:09:00	Mountain	yes	14.537	13.183
Loch	2016-07-22 17:39:00	Mountain	yes	14.65	13.209
Loch	2016-07-22 18:09:00	Mountain	yes	14.572	13.218
Loch	2016-07-22 18:39:00	Mountain	yes	14.537	13.201
Loch	2016-07-22 19:09:00	Mountain	yes	14.581	13.183
Loch	2016-07-22 19:39:00	Mountain	yes	14.52	13.227
Loch	2016-07-22 20:09:00	Mountain	yes	14.529	13.227
Loch	2016-07-22 20:39:00	Mountain	yes	14.537	13.192
Loch	2016-07-22 21:09:00	Mountain	yes	14.485	13.183
Loch	2016-07-22 21:39:00	Mountain	yes	14.433	13.288
Loch	2016-07-22 22:09:00	Mountain	yes	14.363	13.77
Loch	2016-07-22 22:39:00	Mountain	yes	14.32	13.744
Loch	2016-07-22 23:09:00	Mountain	yes	14.241	13.578
Loch	2016-07-22 23:39:00	Mountain	yes	14.084	13.438
Loch	2016-07-23 00:09:00	Mountain	yes	13.988	13.446
Loch	2016-07-23 00:39:00	Mountain	yes	13.892	12.645
Loch	2016-07-23 01:09:00	Mountain	yes	13.638	12.857
Loch	2016-07-23 01:39:00	Mountain	yes	13.55	13.025
Loch	2016-07-23 02:09:00	Mountain	yes	13.498	12.981
Loch	2016-07-23 02:39:00	Mountain	yes	13.392	12.884
Loch	2016-07-23 03:09:00	Mountain	yes	13.348	12.84
Loch	2016-07-23 03:39:00	Mountain	yes	13.313	12.645
Loch	2016-07-23 04:09:00	Mountain	yes	13.199	12.477
Loch	2016-07-23 04:39:00	Mountain	yes	12.987	12.38
Loch	2016-07-23 05:09:00	Mountain	yes	12.836	12.318
Loch	2016-07-23 05:39:00	Mountain	yes	12.801	12.158
Loch	2016-07-23 06:09:00	Mountain	yes	12.597	12.015
Loch	2016-07-23 06:39:00	Mountain	yes	12.579	11.988
Loch	2016-07-23 07:09:00	Mountain	yes	12.455	11.819
Loch	2016-07-23 07:39:00	Mountain	yes	12.339	11.783
Loch	2016-07-23 08:09:00	Mountain	yes	12.401	11.801
Loch	2016-07-23 08:39:00	Mountain	yes	12.446	11.828
Loch	2016-07-23 09:09:00	Mountain	yes	12.508	11.854
Loch	2016-07-23 09:39:00	Mountain	yes	12.606	11.872
Loch	2016-07-23 10:09:00	Mountain	yes	12.757	11.97
Loch	2016-07-23 10:39:00	Mountain	yes	12.978	12.015
Loch	2016-07-23 11:09:00	Mountain	yes	13.207	12.14
Loch	2016-07-23 11:39:00	Mountain	yes	13.304	12.175
Loch	2016-07-23 12:09:00	Mountain	yes	13.568	12.282
Loch	2016-07-23 12:39:00	Mountain	yes	13.735	12.389
Loch	2016-07-23 13:09:00	Mountain	yes	13.84	12.38
Loch	2016-07-23 13:39:00	Mountain	yes	14.111	12.451
Loch	2016-07-23 14:09:00	Mountain	yes	14.285	12.504
Loch	2016-07-23 14:39:00	Mountain	yes	14.511	12.521
Loch	2016-07-23 15:09:00	Mountain	yes	14.355	12.575
Loch	2016-07-23 15:39:00	Mountain	yes	14.45	12.592
Loch	2016-07-23 16:09:00	Mountain	yes	14.59	12.645
Loch	2016-07-23 16:39:00	Mountain	yes	14.511	12.672
Loch	2016-07-23 17:09:00	Mountain	yes	14.459	12.681
Loch	2016-07-23 17:39:00	Mountain	yes	14.503	12.672
Loch	2016-07-23 18:09:00	Mountain	yes	14.485	12.672
Loch	2016-07-23 18:39:00	Mountain	yes	14.32	12.76
Loch	2016-07-23 19:09:00	Mountain	yes	14.346	12.813
Loch	2016-07-23 19:39:00	Mountain	yes	14.363	12.796
Loch	2016-07-23 20:09:00	Mountain	yes	14.224	12.893
Loch	2016-07-23 20:39:00	Mountain	yes	14.302	12.91
Loch	2016-07-23 21:09:00	Mountain	yes	14.268	12.769
Loch	2016-07-23 21:39:00	Mountain	yes	14.25	12.796
Loch	2016-07-23 22:09:00	Mountain	yes	14.207	12.743
Loch	2016-07-23 22:39:00	Mountain	yes	14.146	12.318
Loch	2016-07-23 23:09:00	Mountain	yes	14.049	11.774
Loch	2016-07-23 23:39:00	Mountain	yes	14.032	11.64
Loch	2016-07-24 00:09:00	Mountain	yes	14.006	11.461
Loch	2016-07-24 00:39:00	Mountain	yes	13.901	11.218
Loch	2016-07-24 01:09:00	Mountain	yes	13.822	10.92
Loch	2016-07-24 01:39:00	Mountain	yes	13.761	10.757
Loch	2016-07-24 02:09:00	Mountain	yes	13.735	10.585
Loch	2016-07-24 02:39:00	Mountain	yes	13.691	10.43
Loch	2016-07-24 03:09:00	Mountain	yes	13.621	10.357
Loch	2016-07-24 03:39:00	Mountain	yes	13.48	10.284
