"dateTime","DO"
2018-06-27 00:00:00,7.782
2018-06-27 00:30:00,7.81
2018-06-27 01:00:00,7.787
2018-06-27 01:30:00,7.785
2018-06-27 02:00:00,7.762
2018-06-27 02:30:00,7.745
2018-06-27 03:00:00,7.73
2018-06-27 03:30:00,7.706
2018-06-27 04:00:00,7.682
2018-06-27 04:30:00,7.66
2018-06-27 05:00:00,7.668
2018-06-27 05:30:00,7.633
2018-06-27 06:00:00,7.638
2018-06-27 06:30:00,7.65
2018-06-27 07:00:00,7.634
2018-06-27 07:30:00,7.644
2018-06-27 08:00:00,7.635
2018-06-27 08:30:00,7.57
2018-06-27 09:00:00,7.579
2018-06-27 09:30:00,7.547
2018-06-27 10:00:00,7.542
2018-06-27 10:30:00,7.517
2018-06-27 11:00:00,7.518
2018-06-27 11:30:00,7.54
2018-06-27 12:00:00,7.513
2018-06-27 12:30:00,7.563
2018-06-27 13:00:00,7.538
2018-06-27 13:30:00,7.531
2018-06-27 14:00:00,7.559
2018-06-27 14:30:00,7.568
2018-06-27 15:00:00,7.521
2018-06-27 15:30:00,7.609
2018-06-27 16:00:00,7.549
2018-06-27 16:30:00,7.522
2018-06-27 17:00:00,7.545
2018-06-27 17:30:00,7.517
2018-06-27 18:00:00,7.522
2018-06-27 18:30:00,7.491
2018-06-27 19:00:00,7.519
2018-06-27 19:30:00,7.481
2018-06-27 20:00:00,7.467
2018-06-27 20:30:00,7.481
2018-06-27 21:00:00,7.432
2018-06-27 21:30:00,7.501
2018-06-27 22:00:00,7.849
2018-06-27 22:30:00,7.744
2018-06-27 23:00:00,7.683
2018-06-27 23:30:00,7.668
2018-06-28 00:00:00,7.633
2018-06-28 00:30:00,7.662
2018-06-28 01:00:00,7.652
2018-06-28 01:30:00,7.653
2018-06-28 02:00:00,7.643
2018-06-28 02:30:00,7.621
2018-06-28 03:00:00,7.552
2018-06-28 03:30:00,7.603
2018-06-28 04:00:00,7.558
2018-06-28 04:30:00,7.562
2018-06-28 05:00:00,7.522
2018-06-28 05:30:00,7.51
2018-06-28 06:00:00,7.503
2018-06-28 06:30:00,7.482
2018-06-28 07:00:00,7.542
2018-06-28 07:30:00,7.594
2018-06-28 08:00:00,7.586
2018-06-28 08:30:00,7.479
2018-06-28 09:00:00,7.571
2018-06-28 09:30:00,7.511
2018-06-28 10:00:00,7.421
2018-06-28 10:30:00,7.438
2018-06-28 11:00:00,7.409
2018-06-28 11:30:00,7.414
2018-06-28 12:00:00,7.421
2018-06-28 12:30:00,7.414
2018-06-28 13:00:00,7.411
2018-06-28 13:30:00,7.425
2018-06-28 14:00:00,7.455
2018-06-28 14:30:00,7.436
2018-06-28 15:00:00,7.445
2018-06-28 15:30:00,7.467
2018-06-28 16:00:00,7.438
2018-06-28 16:30:00,7.399
2018-06-28 17:00:00,7.458
2018-06-28 17:30:00,7.441
2018-06-28 18:00:00,7.497
2018-06-28 18:30:00,7.489
2018-06-28 19:00:00,7.461
2018-06-28 19:30:00,7.516
2018-06-28 20:00:00,7.557
2018-06-28 20:30:00,7.546
2018-06-28 21:00:00,7.528
2018-06-28 21:30:00,7.557
2018-06-28 22:00:00,7.53
2018-06-28 22:30:00,7.532
2018-06-28 23:00:00,7.573
2018-06-28 23:30:00,7.569
2018-06-29 00:00:00,7.617
2018-06-29 00:30:00,7.592
2018-06-29 01:00:00,7.578
2018-06-29 01:30:00,7.512
2018-06-29 02:00:00,7.516
2018-06-29 02:30:00,7.579
2018-06-29 03:00:00,7.522
2018-06-29 03:30:00,7.495
2018-06-29 04:00:00,7.473
2018-06-29 04:30:00,7.427
2018-06-29 05:00:00,7.387
2018-06-29 05:30:00,7.356
2018-06-29 06:00:00,7.323
2018-06-29 06:30:00,7.323
2018-06-29 07:00:00,7.286
2018-06-29 07:30:00,7.256
2018-06-29 08:00:00,7.249
2018-06-29 08:30:00,7.234
2018-06-29 09:00:00,7.173
2018-06-29 09:30:00,7.187
2018-06-29 10:00:00,7.156
2018-06-29 10:30:00,7.164
2018-06-29 11:00:00,7.129
2018-06-29 11:30:00,7.135
2018-06-29 12:00:00,7.137
2018-06-29 12:30:00,7.199
2018-06-29 13:00:00,7.277
2018-06-29 13:30:00,7.277
2018-06-29 14:00:00,7.311
2018-06-29 14:30:00,7.38
2018-06-29 15:00:00,7.421
2018-06-29 15:30:00,7.434
2018-06-29 16:00:00,7.457
2018-06-29 16:30:00,7.5
2018-06-29 17:00:00,7.533
2018-06-29 17:30:00,7.528
2018-06-29 18:00:00,7.574
2018-06-29 18:30:00,7.565
2018-06-29 19:00:00,7.609
2018-06-29 19:30:00,7.585
2018-06-29 20:00:00,7.55
2018-06-29 20:30:00,7.556
2018-06-29 21:00:00,7.609
2018-06-29 21:30:00,7.551
2018-06-29 22:00:00,7.636
2018-06-29 22:30:00,7.659
2018-06-29 23:00:00,7.589
2018-06-29 23:30:00,7.584
2018-06-30 00:00:00,7.574
2018-06-30 00:30:00,7.606
2018-06-30 01:00:00,7.583
2018-06-30 01:30:00,7.59
2018-06-30 02:00:00,7.614
2018-06-30 02:30:00,7.572
2018-06-30 03:00:00,7.562
2018-06-30 03:30:00,6.942
2018-06-30 04:00:00,7.499
2018-06-30 04:30:00,7.432
2018-06-30 05:00:00,7.444
2018-06-30 05:30:00,7.404
2018-06-30 06:00:00,7.374
2018-06-30 06:30:00,7.399
2018-06-30 07:00:00,7.377
2018-06-30 07:30:00,7.374
2018-06-30 08:00:00,7.201
2018-06-30 08:30:00,7.108
2018-06-30 09:00:00,7.298
2018-06-30 09:30:00,7.295
2018-06-30 10:00:00,7.271
2018-06-30 10:30:00,7.281
2018-06-30 11:00:00,7.268
2018-06-30 11:30:00,7.26
2018-06-30 12:00:00,7.211
2018-06-30 12:30:00,7.274
2018-06-30 13:00:00,7.298
2018-06-30 13:30:00,7.198
2018-06-30 14:00:00,7.301
2018-06-30 14:30:00,7.346
2018-06-30 15:00:00,7.32
2018-06-30 15:30:00,7.346
2018-06-30 16:00:00,7.353
2018-06-30 16:30:00,7.349
2018-06-30 17:00:00,7.341
2018-06-30 17:30:00,7.334
2018-06-30 18:00:00,7.349
2018-06-30 18:30:00,7.349
2018-06-30 19:00:00,7.349
2018-06-30 19:30:00,7.37
2018-06-30 20:00:00,7.372
2018-06-30 20:30:00,7.356
2018-06-30 21:00:00,7.356
2018-06-30 21:30:00,7.34
2018-06-30 22:00:00,7.461
2018-06-30 22:30:00,7.443
2018-06-30 23:00:00,7.431
2018-06-30 23:30:00,7.45
2018-07-01 00:00:00,7.493
2018-07-01 00:30:00,7.527
2018-07-01 01:00:00,7.549
2018-07-01 01:30:00,7.483
2018-07-01 02:00:00,7.494
2018-07-01 02:30:00,7.487
2018-07-01 03:00:00,7.497
2018-07-01 03:30:00,7.484
2018-07-01 04:00:00,7.472
2018-07-01 04:30:00,7.418
2018-07-01 05:00:00,7.421
2018-07-01 05:30:00,7.391
2018-07-01 06:00:00,7.366
2018-07-01 06:30:00,7.348
2018-07-01 07:00:00,7.352
2018-07-01 07:30:00,7.335
2018-07-01 08:00:00,7.316
2018-07-01 08:30:00,7.33
2018-07-01 09:00:00,7.308
2018-07-01 09:30:00,7.3
2018-07-01 10:00:00,7.294
2018-07-01 10:30:00,7.283
2018-07-01 11:00:00,7.288
2018-07-01 11:30:00,7.301
2018-07-01 12:00:00,7.325
2018-07-01 12:30:00,7.381
2018-07-01 13:00:00,7.47
2018-07-01 13:30:00,7.488
2018-07-01 14:00:00,7.509
2018-07-01 14:30:00,7.561
2018-07-01 15:00:00,7.571
2018-07-01 15:30:00,7.594
2018-07-01 16:00:00,7.634
2018-07-01 16:30:00,7.707
2018-07-01 17:00:00,7.69
2018-07-01 17:30:00,7.697
2018-07-01 18:00:00,7.702
2018-07-01 18:30:00,7.7
2018-07-01 19:00:00,7.717
2018-07-01 19:30:00,7.723
2018-07-01 20:00:00,7.744
2018-07-01 20:30:00,7.741
2018-07-01 21:00:00,7.764
2018-07-01 21:30:00,7.786
2018-07-01 22:00:00,7.773
2018-07-01 22:30:00,7.766
2018-07-01 23:00:00,7.756
2018-07-01 23:30:00,7.753
2018-07-02 00:00:00,7.771
2018-07-02 00:30:00,7.744
2018-07-02 01:00:00,7.72
2018-07-02 01:30:00,7.714
2018-07-02 02:00:00,7.688
2018-07-02 02:30:00,7.669
2018-07-02 03:00:00,7.644
2018-07-02 03:30:00,7.636
2018-07-02 04:00:00,7.627
2018-07-02 04:30:00,7.574
2018-07-02 05:00:00,7.58
2018-07-02 05:30:00,7.575
2018-07-02 06:00:00,7.618
2018-07-02 06:30:00,7.608
2018-07-02 07:00:00,7.564
2018-07-02 07:30:00,7.552
2018-07-02 08:00:00,7.506
2018-07-02 08:30:00,7.456
2018-07-02 09:00:00,7.484
2018-07-02 09:30:00,7.43
2018-07-02 10:00:00,7.43
2018-07-02 10:30:00,7.408
2018-07-02 11:00:00,7.394
2018-07-02 11:30:00,7.374
2018-07-02 12:00:00,7.394
2018-07-02 12:30:00,7.4
2018-07-02 13:00:00,7.451
2018-07-02 13:30:00,7.459
2018-07-02 14:00:00,7.495
2018-07-02 14:30:00,7.55
2018-07-02 15:00:00,7.55
2018-07-02 15:30:00,7.586
2018-07-02 16:00:00,7.607
2018-07-02 16:30:00,7.682
2018-07-02 17:00:00,7.705
2018-07-02 17:30:00,7.665
2018-07-02 18:00:00,7.668
2018-07-02 18:30:00,7.667
2018-07-02 19:00:00,7.664
2018-07-02 19:30:00,7.694
2018-07-02 20:00:00,7.711
2018-07-02 20:30:00,7.704
2018-07-02 21:00:00,7.689
2018-07-02 21:30:00,7.724
2018-07-02 22:00:00,7.729
2018-07-02 22:30:00,7.722
2018-07-02 23:00:00,7.733
2018-07-02 23:30:00,7.744
2018-07-03 00:00:00,7.735
2018-07-03 00:30:00,7.688
2018-07-03 01:00:00,7.711
2018-07-03 01:30:00,7.67
2018-07-03 02:00:00,7.674
2018-07-03 02:30:00,7.671
2018-07-03 03:00:00,7.616
2018-07-03 03:30:00,7.615
2018-07-03 04:00:00,7.615
2018-07-03 04:30:00,7.617
2018-07-03 05:00:00,7.62
2018-07-03 05:30:00,7.609
2018-07-03 06:00:00,7.592
2018-07-03 06:30:00,7.566
2018-07-03 07:00:00,7.573
2018-07-03 07:30:00,7.542
2018-07-03 08:00:00,7.494
2018-07-03 08:30:00,7.51
2018-07-03 09:00:00,7.498
2018-07-03 09:30:00,7.463
2018-07-03 10:00:00,7.487
2018-07-03 10:30:00,7.459
2018-07-03 11:00:00,7.483
2018-07-03 11:30:00,7.474
2018-07-03 12:00:00,7.469
2018-07-03 12:30:00,7.491
2018-07-03 13:00:00,7.452
2018-07-03 13:30:00,7.459
2018-07-03 14:00:00,7.454
2018-07-03 14:30:00,7.492
2018-07-03 15:00:00,7.525
2018-07-03 15:30:00,7.522
2018-07-03 16:00:00,7.543
2018-07-03 16:30:00,7.539
2018-07-03 17:00:00,7.534
2018-07-03 17:30:00,7.517
2018-07-03 18:00:00,7.532
2018-07-03 18:30:00,7.521
2018-07-03 19:00:00,7.573
2018-07-03 19:30:00,7.623
2018-07-03 20:00:00,7.581
2018-07-03 20:30:00,7.605
2018-07-03 21:00:00,7.559
