"dateTime","DO"
2017-07-14 19:30:00,8.772
2017-07-14 20:00:00,8.824
2017-07-14 20:30:00,8.821
2017-07-14 21:00:00,8.822
2017-07-14 21:30:00,8.857
2017-07-14 22:00:00,8.896
2017-07-14 22:30:00,8.906
2017-07-14 23:00:00,8.933
2017-07-14 23:30:00,8.972
2017-07-15 00:00:00,8.997
2017-07-15 00:30:00,8.896
2017-07-15 01:00:00,8.979
2017-07-15 01:30:00,8.908
2017-07-15 02:00:00,8.825
2017-07-15 02:30:00,8.788
2017-07-15 03:00:00,8.822
2017-07-15 03:30:00,8.848
2017-07-15 04:00:00,8.833
2017-07-15 04:30:00,8.755
2017-07-15 05:00:00,8.736
2017-07-15 05:30:00,8.639
2017-07-15 06:00:00,8.808
2017-07-15 06:30:00,8.758
2017-07-15 07:00:00,8.765
2017-07-15 07:30:00,8.722
2017-07-15 08:00:00,8.704
2017-07-15 08:30:00,8.522
2017-07-15 09:00:00,8.405
2017-07-15 09:30:00,8.373
2017-07-15 10:00:00,8.189
2017-07-15 10:30:00,8.082
2017-07-15 11:00:00,8.068
2017-07-15 11:30:00,8.092
2017-07-15 12:00:00,8.067
2017-07-15 12:30:00,8.137
2017-07-15 13:00:00,8.1
2017-07-15 13:30:00,8.213
2017-07-15 14:00:00,8.291
2017-07-15 14:30:00,8.327
2017-07-15 15:00:00,8.31
2017-07-15 15:30:00,8.39
2017-07-15 16:00:00,8.378
2017-07-15 16:30:00,8.42
2017-07-15 17:00:00,8.408
2017-07-15 17:30:00,8.461
2017-07-15 18:00:00,8.46
2017-07-15 18:30:00,8.433
2017-07-15 19:00:00,8.624
2017-07-15 19:30:00,8.69
2017-07-15 20:00:00,8.627
2017-07-15 20:30:00,8.624
2017-07-15 21:00:00,8.579
2017-07-15 21:30:00,8.627
2017-07-15 22:00:00,8.681
2017-07-15 22:30:00,8.695
2017-07-15 23:00:00,8.706
2017-07-15 23:30:00,8.718
2017-07-16 00:00:00,8.69
2017-07-16 00:30:00,8.633
2017-07-16 01:00:00,8.609
2017-07-16 01:30:00,8.495
2017-07-16 02:00:00,8.529
2017-07-16 02:30:00,8.405
2017-07-16 03:00:00,8.386
2017-07-16 03:30:00,8.382
2017-07-16 04:00:00,8.313
2017-07-16 04:30:00,8.349
2017-07-16 05:00:00,8.519
2017-07-16 05:30:00,8.455
2017-07-16 06:00:00,8.393
2017-07-16 06:30:00,8.101
2017-07-16 07:00:00,8.044
2017-07-16 07:30:00,8.007
2017-07-16 08:00:00,8.08
2017-07-16 08:30:00,7.982
2017-07-16 09:00:00,8.017
2017-07-16 09:30:00,7.995
2017-07-16 10:00:00,8.005
2017-07-16 10:30:00,7.966
2017-07-16 11:00:00,7.97
2017-07-16 11:30:00,7.976
2017-07-16 12:00:00,8.002
2017-07-16 12:30:00,7.996
2017-07-16 13:00:00,7.978
2017-07-16 13:30:00,7.999
2017-07-16 14:00:00,8.061
2017-07-16 14:30:00,8.278
2017-07-16 15:00:00,8.427
2017-07-16 15:30:00,8.484
2017-07-16 16:00:00,8.46
2017-07-16 16:30:00,8.478
2017-07-16 17:00:00,8.496
2017-07-16 17:30:00,8.402
2017-07-16 18:00:00,8.54
2017-07-16 18:30:00,8.606
2017-07-16 19:00:00,8.592
2017-07-16 19:30:00,8.551
2017-07-16 20:00:00,8.631
2017-07-16 20:30:00,8.59
2017-07-16 21:00:00,8.636
2017-07-16 21:30:00,8.673
2017-07-16 22:00:00,8.672
2017-07-16 22:30:00,8.621
2017-07-16 23:00:00,8.621
2017-07-16 23:30:00,8.63
2017-07-17 00:00:00,8.632
2017-07-17 00:30:00,8.642
2017-07-17 01:00:00,8.708
2017-07-17 01:30:00,8.567
2017-07-17 02:00:00,8.386
2017-07-17 02:30:00,8.245
2017-07-17 03:00:00,8.302
2017-07-17 03:30:00,8.282
2017-07-17 04:00:00,8.204
2017-07-17 04:30:00,8.166
2017-07-17 05:00:00,8.227
2017-07-17 05:30:00,8.305
2017-07-17 06:00:00,8.335
2017-07-17 06:30:00,8.392
2017-07-17 07:00:00,8.347
2017-07-17 07:30:00,8.262
2017-07-17 08:00:00,8.257
2017-07-17 08:30:00,8.329
2017-07-17 09:00:00,8.263
2017-07-17 09:30:00,8.256
2017-07-17 10:00:00,8.156
2017-07-17 10:30:00,8.229
2017-07-17 11:00:00,8.204
2017-07-17 11:30:00,8.221
2017-07-17 12:00:00,8.237
2017-07-17 12:30:00,8.269
2017-07-17 13:00:00,8.072
2017-07-17 13:30:00,8.126
2017-07-17 14:00:00,8.338
2017-07-17 14:30:00,8.43
2017-07-17 15:00:00,8.288
2017-07-17 15:30:00,8.297
2017-07-17 16:00:00,8.503
2017-07-17 16:30:00,8.483
2017-07-17 17:00:00,8.54
2017-07-17 17:30:00,8.575
2017-07-17 18:00:00,8.588
2017-07-17 18:30:00,8.65
2017-07-17 19:00:00,8.596
2017-07-17 19:30:00,8.488
2017-07-17 20:00:00,8.577
2017-07-17 20:30:00,8.594
2017-07-17 21:00:00,8.671
2017-07-17 21:30:00,8.675
2017-07-17 22:00:00,8.58
2017-07-17 22:30:00,8.623
2017-07-17 23:00:00,8.673
2017-07-17 23:30:00,8.631
2017-07-18 00:00:00,8.632
2017-07-18 00:30:00,8.594
2017-07-18 01:00:00,8.505
2017-07-18 01:30:00,8.427
2017-07-18 02:00:00,8.462
2017-07-18 02:30:00,8.202
2017-07-18 03:00:00,8.103
2017-07-18 03:30:00,8.11
2017-07-18 04:00:00,7.979
2017-07-18 04:30:00,7.942
2017-07-18 05:00:00,7.987
2017-07-18 05:30:00,7.995
2017-07-18 06:00:00,8.039
2017-07-18 06:30:00,7.97
2017-07-18 07:00:00,7.952
2017-07-18 07:30:00,7.839
2017-07-18 08:00:00,7.8
2017-07-18 08:30:00,7.738
2017-07-18 09:00:00,7.664
2017-07-18 09:30:00,7.668
2017-07-18 10:00:00,7.682
2017-07-18 10:30:00,7.725
2017-07-18 11:00:00,7.748
2017-07-18 11:30:00,7.817
2017-07-18 12:00:00,7.939
2017-07-18 12:30:00,7.949
2017-07-18 13:00:00,7.942
2017-07-18 13:30:00,7.961
2017-07-18 14:00:00,7.976
2017-07-18 14:30:00,7.971
2017-07-18 15:00:00,7.981
2017-07-18 15:30:00,8.003
2017-07-18 16:00:00,8.069
2017-07-18 16:30:00,8.067
2017-07-18 17:00:00,8.113
2017-07-18 17:30:00,8.117
2017-07-18 18:00:00,8.115
2017-07-18 18:30:00,8.142
2017-07-18 19:00:00,8.163
2017-07-18 19:30:00,8.205
2017-07-18 20:00:00,8.202
2017-07-18 20:30:00,8.275
2017-07-18 21:00:00,8.281
2017-07-18 21:30:00,8.305
2017-07-18 22:00:00,8.296
2017-07-18 22:30:00,8.317
2017-07-18 23:00:00,8.257
2017-07-18 23:30:00,8.291
2017-07-19 00:00:00,8.31
2017-07-19 00:30:00,8.33
2017-07-19 01:00:00,8.317
2017-07-19 01:30:00,8.325
2017-07-19 02:00:00,8.237
2017-07-19 02:30:00,8.17
2017-07-19 03:00:00,8.275
2017-07-19 03:30:00,8.259
2017-07-19 04:00:00,8.232
2017-07-19 04:30:00,8.231
2017-07-19 05:00:00,8.159
2017-07-19 05:30:00,8.153
2017-07-19 06:00:00,8.035
2017-07-19 06:30:00,8.02
2017-07-19 07:00:00,8.062
2017-07-19 07:30:00,7.954
2017-07-19 08:00:00,8.008
2017-07-19 08:30:00,7.953
2017-07-19 09:00:00,7.94
2017-07-19 09:30:00,7.95
2017-07-19 10:00:00,7.929
2017-07-19 10:30:00,7.926
2017-07-19 11:00:00,7.921
2017-07-19 11:30:00,7.969
2017-07-19 12:00:00,7.897
2017-07-19 12:30:00,7.858
2017-07-19 13:00:00,7.833
2017-07-19 13:30:00,7.853
2017-07-19 14:00:00,7.972
2017-07-19 14:30:00,8.108
2017-07-19 15:00:00,8.167
2017-07-19 15:30:00,8.178
2017-07-19 16:00:00,8.141
2017-07-19 16:30:00,8.198
2017-07-19 17:00:00,8.218
2017-07-19 17:30:00,8.287
2017-07-19 18:00:00,8.23
2017-07-19 18:30:00,8.272
2017-07-19 19:00:00,8.279
2017-07-19 19:30:00,8.293
2017-07-19 20:00:00,8.313
2017-07-19 20:30:00,8.254
2017-07-19 21:00:00,8.27
2017-07-19 21:30:00,8.228
2017-07-19 22:00:00,8.282
2017-07-19 22:30:00,8.27
2017-07-19 23:00:00,8.276
2017-07-19 23:30:00,8.276
2017-07-20 00:00:00,8.221
2017-07-20 00:30:00,8.21
2017-07-20 01:00:00,8.164
2017-07-20 01:30:00,8.082
2017-07-20 02:00:00,8.083
2017-07-20 02:30:00,8.146
2017-07-20 03:00:00,8.121
2017-07-20 03:30:00,8.063
2017-07-20 04:00:00,8.013
2017-07-20 04:30:00,7.964
2017-07-20 05:00:00,7.982
2017-07-20 05:30:00,7.992
2017-07-20 06:00:00,7.9
2017-07-20 06:30:00,7.81
2017-07-20 07:00:00,7.787
2017-07-20 07:30:00,7.725
2017-07-20 08:00:00,7.63
2017-07-20 08:30:00,7.653
2017-07-20 09:00:00,7.729
2017-07-20 09:30:00,7.702
2017-07-20 10:00:00,7.758
2017-07-20 10:30:00,7.755
2017-07-20 11:00:00,7.711
2017-07-20 11:30:00,7.688
2017-07-20 12:00:00,7.654
2017-07-20 12:30:00,7.6
2017-07-20 13:00:00,7.754
2017-07-20 13:30:00,7.857
2017-07-20 14:00:00,7.907
2017-07-20 14:30:00,8.05
2017-07-20 15:00:00,8.254
2017-07-20 15:30:00,8.373
2017-07-20 16:00:00,8.418
2017-07-20 16:30:00,8.45
2017-07-20 17:00:00,8.44
2017-07-20 17:30:00,8.362
2017-07-20 18:00:00,8.34
2017-07-20 18:30:00,8.449
2017-07-20 19:00:00,8.417
2017-07-20 19:30:00,8.338
2017-07-20 20:00:00,8.379
2017-07-20 20:30:00,8.427
2017-07-20 21:00:00,8.454
2017-07-20 21:30:00,8.38
2017-07-20 22:00:00,8.472
2017-07-20 22:30:00,8.383
2017-07-20 23:00:00,8.321
2017-07-20 23:30:00,8.367
2017-07-21 00:00:00,8.36
2017-07-21 00:30:00,8.333
2017-07-21 01:00:00,8.377
2017-07-21 01:30:00,8.312
2017-07-21 02:00:00,8.279
2017-07-21 02:30:00,8.211
2017-07-21 03:00:00,8.152
2017-07-21 03:30:00,8.197
2017-07-21 04:00:00,8.238
2017-07-21 04:30:00,8.237
2017-07-21 05:00:00,8.254
2017-07-21 05:30:00,8.126
2017-07-21 06:00:00,7.897
2017-07-21 06:30:00,8.045
2017-07-21 07:00:00,8.106
2017-07-21 07:30:00,7.985
2017-07-21 08:00:00,7.943
2017-07-21 08:30:00,7.869
2017-07-21 09:00:00,7.93
2017-07-21 09:30:00,7.867
2017-07-21 10:00:00,7.862
2017-07-21 10:30:00,7.846
2017-07-21 11:00:00,7.808
2017-07-21 11:30:00,7.818
2017-07-21 12:00:00,7.744
2017-07-21 12:30:00,7.738
2017-07-21 13:00:00,7.77
2017-07-21 13:30:00,7.853
2017-07-21 14:00:00,7.884
2017-07-21 14:30:00,7.92
2017-07-21 15:00:00,7.946
2017-07-21 15:30:00,7.971
2017-07-21 16:00:00,7.995
2017-07-21 16:30:00,8.024
2017-07-21 17:00:00,8.139
2017-07-21 17:30:00,8.244
2017-07-21 18:00:00,8.233
2017-07-21 18:30:00,8.245
2017-07-21 19:00:00,8.291
2017-07-21 19:30:00,8.261
2017-07-21 20:00:00,8.252
2017-07-21 20:30:00,8.211
2017-07-21 21:00:00,8.275
2017-07-21 21:30:00,8.252
2017-07-21 22:00:00,8.301
2017-07-21 22:30:00,8.248
2017-07-21 23:00:00,8.146
2017-07-21 23:30:00,8.204
2017-07-22 00:00:00,8.153
2017-07-22 00:30:00,8.149
2017-07-22 01:00:00,8.104
2017-07-22 01:30:00,8.131
2017-07-22 02:00:00,8.019
2017-07-22 02:30:00,8.118
2017-07-22 03:00:00,8.153
2017-07-22 03:30:00,8.066
2017-07-22 04:00:00,7.997
2017-07-22 04:30:00,8.006
2017-07-22 05:00:00,7.948
2017-07-22 05:30:00,7.904
2017-07-22 06:00:00,7.829
2017-07-22 06:30:00,7.946
2017-07-22 07:00:00,7.817
2017-07-22 07:30:00,7.802
2017-07-22 08:00:00,7.758
2017-07-22 08:30:00,7.768
2017-07-22 09:00:00,7.73
2017-07-22 09:30:00,7.821
2017-07-22 10:00:00,7.862
2017-07-22 10:30:00,7.924
2017-07-22 11:00:00,7.938
2017-07-22 11:30:00,7.879
2017-07-22 12:00:00,7.866
2017-07-22 12:30:00,7.899
2017-07-22 13:00:00,7.93
2017-07-22 13:30:00,7.95
2017-07-22 14:00:00,8
2017-07-22 14:30:00,8.15
2017-07-22 15:00:00,8.3
2017-07-22 15:30:00,8.346
2017-07-22 16:00:00,8.467
2017-07-22 16:30:00,8.473
2017-07-22 17:00:00,8.499
2017-07-22 17:30:00,8.461
2017-07-22 18:00:00,8.522
2017-07-22 18:30:00,8.485
2017-07-22 19:00:00,8.442
2017-07-22 19:30:00,8.471
2017-07-22 20:00:00,8.534
2017-07-22 20:30:00,8.569
2017-07-22 21:00:00,8.603
2017-07-22 21:30:00,8.541
2017-07-22 22:00:00,8.582
2017-07-22 22:30:00,8.567
2017-07-22 23:00:00,8.39
2017-07-22 23:30:00,8.486
2017-07-23 00:00:00,8.545
2017-07-23 00:30:00,8.415
2017-07-23 01:00:00,8.356
2017-07-23 01:30:00,8.305
2017-07-23 02:00:00,8.222
2017-07-23 02:30:00,8.069
2017-07-23 03:00:00,7.875
2017-07-23 03:30:00,7.962
2017-07-23 04:00:00,8.173
2017-07-23 04:30:00,8.071
2017-07-23 05:00:00,7.932
2017-07-23 05:30:00,7.783
2017-07-23 06:00:00,7.953
2017-07-23 06:30:00,7.983
2017-07-23 07:00:00,7.792
2017-07-23 07:30:00,7.865
2017-07-23 08:00:00,7.934
2017-07-23 08:30:00,7.948
2017-07-23 09:00:00,7.924
2017-07-23 09:30:00,7.947
2017-07-23 10:00:00,7.955
2017-07-23 10:30:00,7.974
2017-07-23 11:00:00,7.902
2017-07-23 11:30:00,7.823
2017-07-23 12:00:00,7.819
2017-07-23 12:30:00,7.811
2017-07-23 13:00:00,7.771
2017-07-23 13:30:00,7.729
2017-07-23 14:00:00,8.063
2017-07-23 14:30:00,8.211
2017-07-23 15:00:00,8.319
2017-07-23 15:30:00,8.444
2017-07-23 16:00:00,8.517
2017-07-23 16:30:00,8.354
2017-07-23 17:00:00,8.388
2017-07-23 17:30:00,8.43
2017-07-23 18:00:00,8.458
2017-07-23 18:30:00,8.477
2017-07-23 19:00:00,8.401
2017-07-23 19:30:00,8.321
2017-07-23 20:00:00,8.402
2017-07-23 20:30:00,8.446
2017-07-23 21:00:00,8.43
2017-07-23 21:30:00,8.485
2017-07-23 22:00:00,8.507
2017-07-23 22:30:00,8.53
2017-07-23 23:00:00,8.447
2017-07-23 23:30:00,8.522
2017-07-24 00:00:00,8.48
2017-07-24 00:30:00,8.457
2017-07-24 01:00:00,8.44
2017-07-24 01:30:00,8.367
2017-07-24 02:00:00,8.293
2017-07-24 02:30:00,8.112
2017-07-24 03:00:00,7.883
2017-07-24 03:30:00,8.101
2017-07-24 04:00:00,7.855
2017-07-24 04:30:00,7.666
