lakeID	timestamp	localTZ	daylightSavings	PAR
Loch	2016-07-19 04:00:00	Mountain	yes	0
Loch	2016-07-19 05:00:00	Mountain	yes	1.68
Loch	2016-07-19 06:00:00	Mountain	yes	20.82
Loch	2016-07-19 07:00:00	Mountain	yes	97.75
Loch	2016-07-19 08:00:00	Mountain	yes	359.33
Loch	2016-07-19 09:00:00	Mountain	yes	442.63
Loch	2016-07-19 10:00:00	Mountain	yes	651.1
Loch	2016-07-19 11:00:00	Mountain	yes	651.25
Loch	2016-07-19 12:00:00	Mountain	yes	852.07
Loch	2016-07-19 13:00:00	Mountain	yes	597.2
Loch	2016-07-19 14:00:00	Mountain	yes	525.73
Loch	2016-07-19 15:00:00	Mountain	yes	484.95
Loch	2016-07-19 16:00:00	Mountain	yes	365.07
Loch	2016-07-19 17:00:00	Mountain	yes	133.25
Loch	2016-07-19 18:00:00	Mountain	yes	174.35
Loch	2016-07-19 19:00:00	Mountain	yes	50.82
Loch	2016-07-19 20:00:00	Mountain	yes	4.45
Loch	2016-07-19 21:00:00	Mountain	yes	0
Loch	2016-07-19 22:00:00	Mountain	yes	0
Loch	2016-07-19 23:00:00	Mountain	yes	0
Loch	2016-07-20 00:00:00	Mountain	yes	0
Loch	2016-07-20 01:00:00	Mountain	yes	0
Loch	2016-07-20 02:00:00	Mountain	yes	0
Loch	2016-07-20 03:00:00	Mountain	yes	0
Loch	2016-07-20 04:00:00	Mountain	yes	0
Loch	2016-07-20 05:00:00	Mountain	yes	2.47
Loch	2016-07-20 06:00:00	Mountain	yes	70.26
Loch	2016-07-20 07:00:00	Mountain	yes	248.75
Loch	2016-07-20 08:00:00	Mountain	yes	461.1
Loch	2016-07-20 09:00:00	Mountain	yes	747.05
Loch	2016-07-20 10:00:00	Mountain	yes	1026.5
Loch	2016-07-20 11:00:00	Mountain	yes	970.83
Loch	2016-07-20 12:00:00	Mountain	yes	889.93
Loch	2016-07-20 13:00:00	Mountain	yes	782.98
Loch	2016-07-20 14:00:00	Mountain	yes	863.87
Loch	2016-07-20 15:00:00	Mountain	yes	251.59
Loch	2016-07-20 16:00:00	Mountain	yes	48.28
Loch	2016-07-20 17:00:00	Mountain	yes	41.16
Loch	2016-07-20 18:00:00	Mountain	yes	16.32
Loch	2016-07-20 19:00:00	Mountain	yes	7.79
Loch	2016-07-20 20:00:00	Mountain	yes	0.57
Loch	2016-07-20 21:00:00	Mountain	yes	0
Loch	2016-07-20 22:00:00	Mountain	yes	0
Loch	2016-07-20 23:00:00	Mountain	yes	0
Loch	2016-07-21 00:00:00	Mountain	yes	0
Loch	2016-07-21 01:00:00	Mountain	yes	0
Loch	2016-07-21 02:00:00	Mountain	yes	0
Loch	2016-07-21 03:00:00	Mountain	yes	0
Loch	2016-07-21 04:00:00	Mountain	yes	0
Loch	2016-07-21 05:00:00	Mountain	yes	1.47
Loch	2016-07-21 06:00:00	Mountain	yes	70.24
Loch	2016-07-21 07:00:00	Mountain	yes	322.68
Loch	2016-07-21 08:00:00	Mountain	yes	501.68
Loch	2016-07-21 09:00:00	Mountain	yes	706
Loch	2016-07-21 10:00:00	Mountain	yes	701.42
Loch	2016-07-21 11:00:00	Mountain	yes	915.55
Loch	2016-07-21 12:00:00	Mountain	yes	538.07
Loch	2016-07-21 13:00:00	Mountain	yes	426.43
Loch	2016-07-21 14:00:00	Mountain	yes	250.38
