"dateTime","PAR"
2019-08-06 20:30:00,NA
2019-08-06 21:00:00,1391.9745
2019-08-06 21:30:00,NA
2019-08-06 22:00:00,1120.623
2019-08-06 22:30:00,NA
2019-08-06 23:00:00,754.048
2019-08-06 23:30:00,NA
2019-08-07 00:00:00,428.8605
2019-08-07 00:30:00,NA
2019-08-07 01:00:00,48.4395
2019-08-07 01:30:00,NA
2019-08-07 02:00:00,-5.762
2019-08-07 02:30:00,NA
2019-08-07 03:00:00,-5.16
2019-08-07 03:30:00,NA
2019-08-07 04:00:00,-6.1275
2019-08-07 04:30:00,NA
2019-08-07 05:00:00,-5.805
2019-08-07 05:30:00,NA
2019-08-07 06:00:00,-6.364
2019-08-07 06:30:00,NA
2019-08-07 07:00:00,-4.816
2019-08-07 07:30:00,NA
2019-08-07 08:00:00,-7.009
2019-08-07 08:30:00,NA
2019-08-07 09:00:00,-6.966
2019-08-07 09:30:00,NA
2019-08-07 10:00:00,-5.9985
2019-08-07 10:30:00,NA
2019-08-07 11:00:00,-5.2245
2019-08-07 11:30:00,NA
2019-08-07 12:00:00,52.9545
2019-08-07 12:30:00,NA
2019-08-07 13:00:00,253.571
2019-08-07 13:30:00,NA
2019-08-07 14:00:00,456.058
2019-08-07 14:30:00,NA
2019-08-07 15:00:00,750.0275
2019-08-07 15:30:00,NA
2019-08-07 16:00:00,1272.0045
2019-08-07 16:30:00,NA
2019-08-07 17:00:00,1615.682
2019-08-07 17:30:00,NA
2019-08-07 18:00:00,1487.6925
2019-08-07 18:30:00,NA
2019-08-07 19:00:00,1638.257
2019-08-07 19:30:00,NA
2019-08-07 20:00:00,1172.2875
2019-08-07 20:30:00,NA
2019-08-07 21:00:00,619.243
2019-08-07 21:30:00,NA
2019-08-07 22:00:00,605.3325
2019-08-07 22:30:00,NA
2019-08-07 23:00:00,480.5895
2019-08-07 23:30:00,NA
2019-08-08 00:00:00,118.164
2019-08-08 00:30:00,NA
2019-08-08 01:00:00,45.3005
2019-08-08 01:30:00,NA
2019-08-08 02:00:00,-0.7095
2019-08-08 02:30:00,NA
2019-08-08 03:00:00,-1.806
2019-08-08 03:30:00,NA
2019-08-08 04:00:00,3.182
2019-08-08 04:30:00,NA
2019-08-08 05:00:00,-4.2355
2019-08-08 05:30:00,NA
2019-08-08 06:00:00,-5.762
2019-08-08 06:30:00,NA
2019-08-08 07:00:00,-4.5795
2019-08-08 07:30:00,NA
2019-08-08 08:00:00,0.129
2019-08-08 08:30:00,NA
2019-08-08 09:00:00,-0.8385
2019-08-08 09:30:00,NA
2019-08-08 10:00:00,-2.107
2019-08-08 10:30:00,NA
2019-08-08 11:00:00,-0.5375
2019-08-08 11:30:00,NA
2019-08-08 12:00:00,13.975
2019-08-08 12:30:00,NA
2019-08-08 13:00:00,74.562
2019-08-08 13:30:00,NA
2019-08-08 14:00:00,321.6185
2019-08-08 14:30:00,NA
2019-08-08 15:00:00,824.138
2019-08-08 15:30:00,NA
2019-08-08 16:00:00,611.8255
2019-08-08 16:30:00,NA
2019-08-08 17:00:00,933.573
2019-08-08 17:30:00,NA
2019-08-08 18:00:00,1111.6575
2019-08-08 18:30:00,NA
2019-08-08 19:00:00,753.2525
2019-08-08 19:30:00,NA
2019-08-08 20:00:00,342.925
2019-08-08 20:30:00,NA
2019-08-08 21:00:00,765.1205
2019-08-08 21:30:00,NA
2019-08-08 22:00:00,379.905
2019-08-08 22:30:00,NA
2019-08-08 23:00:00,260.6445
2019-08-08 23:30:00,NA
2019-08-09 00:00:00,206.314
2019-08-09 00:30:00,NA
2019-08-09 01:00:00,49.3425
2019-08-09 01:30:00,NA
2019-08-09 02:00:00,-2.924
2019-08-09 02:30:00,NA
2019-08-09 03:00:00,-6.1275
2019-08-09 03:30:00,NA
2019-08-09 04:00:00,-4.3215
2019-08-09 04:30:00,NA
2019-08-09 05:00:00,-3.4615
2019-08-09 05:30:00,NA
2019-08-09 06:00:00,-4.515
2019-08-09 06:30:00,NA
2019-08-09 07:00:00,-1.3115
2019-08-09 07:30:00,NA
2019-08-09 08:00:00,-3.2465
2019-08-09 08:30:00,NA
2019-08-09 09:00:00,-3.182
2019-08-09 09:30:00,NA
2019-08-09 10:00:00,-6.2995
2019-08-09 10:30:00,NA
2019-08-09 11:00:00,-5.4825
2019-08-09 11:30:00,NA
2019-08-09 12:00:00,85.527
2019-08-09 12:30:00,NA
2019-08-09 13:00:00,265.1595
2019-08-09 13:30:00,NA
2019-08-09 14:00:00,308.2455
2019-08-09 14:30:00,NA
2019-08-09 15:00:00,907.3
2019-08-09 15:30:00,NA
2019-08-09 16:00:00,1700.177
2019-08-09 16:30:00,NA
2019-08-09 17:00:00,1806.43
2019-08-09 17:30:00,NA
2019-08-09 18:00:00,1996.9845
2019-08-09 18:30:00,NA
2019-08-09 19:00:00,1959.0155
2019-08-09 19:30:00,NA
2019-08-09 20:00:00,1839.0025
2019-08-09 20:30:00,NA
2019-08-09 21:00:00,1664.96
2019-08-09 21:30:00,NA
2019-08-09 22:00:00,1307.243
2019-08-09 22:30:00,NA
2019-08-09 23:00:00,835.8555
2019-08-09 23:30:00,NA
2019-08-10 00:00:00,257.5485
2019-08-10 00:30:00,NA
2019-08-10 01:00:00,39.6675
2019-08-10 01:30:00,NA
2019-08-10 02:00:00,-6.751
2019-08-10 02:30:00,NA
2019-08-10 03:00:00,-7.1595
2019-08-10 03:30:00,NA
2019-08-10 04:00:00,-4.2785
2019-08-10 04:30:00,NA
2019-08-10 05:00:00,-2.795
2019-08-10 05:30:00,NA
2019-08-10 06:00:00,-3.268
2019-08-10 06:30:00,NA
2019-08-10 07:00:00,-4.3215
2019-08-10 07:30:00,NA
2019-08-10 08:00:00,-2.795
2019-08-10 08:30:00,NA
2019-08-10 09:00:00,-3.913
2019-08-10 09:30:00,NA
2019-08-10 10:00:00,-3.053
2019-08-10 10:30:00,NA
2019-08-10 11:00:00,-3.9345
2019-08-10 11:30:00,NA
2019-08-10 12:00:00,45.322
