"dateTime","PAR"
2018-05-30 00:00:00,114.165
2018-05-30 00:30:00,NA
2018-05-30 01:00:00,45.752
2018-05-30 01:30:00,NA
2018-05-30 02:00:00,8.858
2018-05-30 02:30:00,NA
2018-05-30 03:00:00,0
2018-05-30 03:30:00,NA
2018-05-30 04:00:00,0
2018-05-30 04:30:00,NA
2018-05-30 05:00:00,0
2018-05-30 05:30:00,NA
2018-05-30 06:00:00,0
2018-05-30 06:30:00,NA
2018-05-30 07:00:00,0
2018-05-30 07:30:00,NA
2018-05-30 08:00:00,0
2018-05-30 08:30:00,NA
2018-05-30 09:00:00,0
2018-05-30 09:30:00,NA
2018-05-30 10:00:00,0
2018-05-30 10:30:00,NA
2018-05-30 11:00:00,13.0935
2018-05-30 11:30:00,NA
2018-05-30 12:00:00,372.9175
2018-05-30 12:30:00,NA
2018-05-30 13:00:00,851.83
2018-05-30 13:30:00,NA
2018-05-30 14:00:00,1313.5425
2018-05-30 14:30:00,NA
2018-05-30 15:00:00,1709.6155
2018-05-30 15:30:00,NA
2018-05-30 16:00:00,1970.26
2018-05-30 16:30:00,NA
2018-05-30 17:00:00,1660.1655
2018-05-30 17:30:00,NA
2018-05-30 18:00:00,1714.367
2018-05-30 18:30:00,NA
2018-05-30 19:00:00,2210.4795
2018-05-30 19:30:00,NA
2018-05-30 20:00:00,1199.915
2018-05-30 20:30:00,NA
2018-05-30 21:00:00,284.9825
2018-05-30 21:30:00,NA
2018-05-30 22:00:00,1411.6255
2018-05-30 22:30:00,NA
2018-05-30 23:00:00,341.377
2018-05-30 23:30:00,NA
2018-05-31 00:00:00,66.779
2018-05-31 00:30:00,NA
2018-05-31 01:00:00,46.8915
2018-05-31 01:30:00,NA
2018-05-31 02:00:00,7.2885
2018-05-31 02:30:00,NA
2018-05-31 03:00:00,0
2018-05-31 03:30:00,NA
2018-05-31 04:00:00,0
2018-05-31 04:30:00,NA
2018-05-31 05:00:00,0
2018-05-31 05:30:00,NA
2018-05-31 06:00:00,0
2018-05-31 06:30:00,NA
2018-05-31 07:00:00,0
2018-05-31 07:30:00,NA
2018-05-31 08:00:00,0
2018-05-31 08:30:00,NA
2018-05-31 09:00:00,0
2018-05-31 09:30:00,NA
2018-05-31 10:00:00,0
2018-05-31 10:30:00,NA
2018-05-31 11:00:00,22.575
2018-05-31 11:30:00,NA
2018-05-31 12:00:00,255.807
2018-05-31 12:30:00,NA
2018-05-31 13:00:00,780.2995
2018-05-31 13:30:00,NA
2018-05-31 14:00:00,1372.7105
2018-05-31 14:30:00,NA
2018-05-31 15:00:00,1328.5495
2018-05-31 15:30:00,NA
2018-05-31 16:00:00,1818.212
2018-05-31 16:30:00,NA
2018-05-31 17:00:00,2146.775
2018-05-31 17:30:00,NA
2018-05-31 18:00:00,2236.7095
2018-05-31 18:30:00,NA
2018-05-31 19:00:00,1280.9055
2018-05-31 19:30:00,NA
2018-05-31 20:00:00,1824.275
2018-05-31 20:30:00,NA
2018-05-31 21:00:00,1245.538
2018-05-31 21:30:00,NA
2018-05-31 22:00:00,650.203
2018-05-31 22:30:00,NA
2018-05-31 23:00:00,336.3675
2018-05-31 23:30:00,NA
2018-06-01 00:00:00,146.8665
2018-06-01 00:30:00,NA
2018-06-01 01:00:00,83.9145
2018-06-01 01:30:00,NA
2018-06-01 02:00:00,3.4185
2018-06-01 02:30:00,NA
2018-06-01 03:00:00,0
2018-06-01 03:30:00,NA
2018-06-01 04:00:00,-0.086
2018-06-01 04:30:00,NA
2018-06-01 05:00:00,-0.1505
2018-06-01 05:30:00,NA
2018-06-01 06:00:00,-0.1505
2018-06-01 06:30:00,NA
2018-06-01 07:00:00,-0.0215
2018-06-01 07:30:00,NA
2018-06-01 08:00:00,0
2018-06-01 08:30:00,NA
2018-06-01 09:00:00,0
2018-06-01 09:30:00,NA
2018-06-01 10:00:00,0
2018-06-01 10:30:00,NA
2018-06-01 11:00:00,15.007
2018-06-01 11:30:00,NA
2018-06-01 12:00:00,400.1795
2018-06-01 12:30:00,NA
2018-06-01 13:00:00,881.6505
2018-06-01 13:30:00,NA
2018-06-01 14:00:00,1321.8845
2018-06-01 14:30:00,NA
2018-06-01 15:00:00,1741.1345
2018-06-01 15:30:00,NA
2018-06-01 16:00:00,2057.55
2018-06-01 16:30:00,NA
2018-06-01 17:00:00,2247.1155
2018-06-01 17:30:00,NA
2018-06-01 18:00:00,2318.775
2018-06-01 18:30:00,NA
2018-06-01 19:00:00,2190.162
2018-06-01 19:30:00,NA
2018-06-01 20:00:00,1911.78
2018-06-01 20:30:00,NA
2018-06-01 21:00:00,1652.92
2018-06-01 21:30:00,NA
2018-06-01 22:00:00,1269.79
2018-06-01 22:30:00,NA
2018-06-01 23:00:00,411.2305
2018-06-01 23:30:00,NA
2018-06-02 00:00:00,202.487
2018-06-02 00:30:00,NA
2018-06-02 01:00:00,97.18
2018-06-02 01:30:00,NA
2018-06-02 02:00:00,6.708
2018-06-02 02:30:00,NA
2018-06-02 03:00:00,0
2018-06-02 03:30:00,NA
2018-06-02 04:00:00,0
2018-06-02 04:30:00,NA
2018-06-02 05:00:00,0
2018-06-02 05:30:00,NA
2018-06-02 06:00:00,0
2018-06-02 06:30:00,NA
2018-06-02 07:00:00,0
2018-06-02 07:30:00,NA
2018-06-02 08:00:00,0
2018-06-02 08:30:00,NA
2018-06-02 09:00:00,0
2018-06-02 09:30:00,NA
2018-06-02 10:00:00,0
2018-06-02 10:30:00,NA
2018-06-02 11:00:00,18.146
2018-06-02 11:30:00,NA
2018-06-02 12:00:00,409.7255
2018-06-02 12:30:00,NA
2018-06-02 13:00:00,903.7525
2018-06-02 13:30:00,NA
2018-06-02 14:00:00,1374.3445
2018-06-02 14:30:00,NA
2018-06-02 15:00:00,1781.06
2018-06-02 15:30:00,NA
2018-06-02 16:00:00,2093.7345
2018-06-02 16:30:00,NA
2018-06-02 17:00:00,2287.6
2018-06-02 17:30:00,NA
2018-06-02 18:00:00,2357.8405
2018-06-02 18:30:00,NA
2018-06-02 19:00:00,2305.875
2018-06-02 19:30:00,NA
2018-06-02 20:00:00,2130.65
2018-06-02 20:30:00,NA
2018-06-02 21:00:00,1846.807
2018-06-02 21:30:00,NA
2018-06-02 22:00:00,1468.02
2018-06-02 22:30:00,NA
2018-06-02 23:00:00,380.464
2018-06-02 23:30:00,NA
2018-06-03 00:00:00,62.1565
2018-06-03 00:30:00,NA
2018-06-03 01:00:00,37.625
2018-06-03 01:30:00,NA
2018-06-03 02:00:00,5.59
2018-06-03 02:30:00,NA
2018-06-03 03:00:00,0
2018-06-03 03:30:00,NA
2018-06-03 04:00:00,0
2018-06-03 04:30:00,NA
2018-06-03 05:00:00,0
2018-06-03 05:30:00,NA
2018-06-03 06:00:00,0
2018-06-03 06:30:00,NA
2018-06-03 07:00:00,0
2018-06-03 07:30:00,NA
2018-06-03 08:00:00,0
2018-06-03 08:30:00,NA
2018-06-03 09:00:00,0
2018-06-03 09:30:00,NA
2018-06-03 10:00:00,0
2018-06-03 10:30:00,NA
2018-06-03 11:00:00,22.7685
2018-06-03 11:30:00,NA
2018-06-03 12:00:00,130.9565
2018-06-03 12:30:00,NA
2018-06-03 13:00:00,433.2895
2018-06-03 13:30:00,NA
2018-06-03 14:00:00,1112.41
2018-06-03 14:30:00,NA
2018-06-03 15:00:00,1456.5605
2018-06-03 15:30:00,NA
2018-06-03 16:00:00,1734.577
2018-06-03 16:30:00,NA
2018-06-03 17:00:00,2175.8
2018-06-03 17:30:00,NA
2018-06-03 18:00:00,1969.0345
