"dateTime","windSpeed"
2020-06-04 00:00:00,8.88
2020-06-04 00:30:00,NA
2020-06-04 01:00:00,4.587
2020-06-04 01:30:00,NA
2020-06-04 02:00:00,2.277
2020-06-04 02:30:00,NA
2020-06-04 03:00:00,3.789
2020-06-04 03:30:00,NA
2020-06-04 04:00:00,3.672
2020-06-04 04:30:00,NA
2020-06-04 05:00:00,3.113
2020-06-04 05:30:00,NA
2020-06-04 06:00:00,6.609
2020-06-04 06:30:00,NA
2020-06-04 07:00:00,8.88
2020-06-04 07:30:00,NA
2020-06-04 08:00:00,7.81
2020-06-04 08:30:00,NA
2020-06-04 09:00:00,7.229
2020-06-04 09:30:00,NA
2020-06-04 10:00:00,13.77
2020-06-04 10:30:00,NA
2020-06-04 11:00:00,14.12
2020-06-04 11:30:00,NA
2020-06-04 12:00:00,11.66
2020-06-04 12:30:00,NA
2020-06-04 13:00:00,9.5
2020-06-04 13:30:00,NA
2020-06-04 14:00:00,10.19
2020-06-04 14:30:00,NA
2020-06-04 15:00:00,9.02
2020-06-04 15:30:00,NA
2020-06-04 16:00:00,7.526
2020-06-04 16:30:00,NA
2020-06-04 17:00:00,10.55
2020-06-04 17:30:00,NA
2020-06-04 18:00:00,9.55
2020-06-04 18:30:00,NA
2020-06-04 19:00:00,13.46
2020-06-04 19:30:00,NA
2020-06-04 20:00:00,8.08
2020-06-04 20:30:00,NA
2020-06-04 21:00:00,5.552
2020-06-04 21:30:00,NA
2020-06-04 22:00:00,5.322
2020-06-04 22:30:00,NA
2020-06-04 23:00:00,3.575
2020-06-04 23:30:00,NA
2020-06-05 00:00:00,3.28
2020-06-05 00:30:00,NA
2020-06-05 01:00:00,6.879
2020-06-05 01:30:00,NA
2020-06-05 02:00:00,10.06
2020-06-05 02:30:00,NA
2020-06-05 03:00:00,8.42
2020-06-05 03:30:00,NA
2020-06-05 04:00:00,2.661
2020-06-05 04:30:00,NA
2020-06-05 05:00:00,4.447
2020-06-05 05:30:00,NA
2020-06-05 06:00:00,6.408
2020-06-05 06:30:00,NA
2020-06-05 07:00:00,4.519
2020-06-05 07:30:00,NA
2020-06-05 08:00:00,5.452
2020-06-05 08:30:00,NA
2020-06-05 09:00:00,4.396
2020-06-05 09:30:00,NA
2020-06-05 10:00:00,7.433
2020-06-05 10:30:00,NA
2020-06-05 11:00:00,6.878
2020-06-05 11:30:00,NA
2020-06-05 12:00:00,8.84
2020-06-05 12:30:00,NA
2020-06-05 13:00:00,8.49
2020-06-05 13:30:00,NA
2020-06-05 14:00:00,10.99
2020-06-05 14:30:00,NA
2020-06-05 15:00:00,7.117
2020-06-05 15:30:00,NA
2020-06-05 16:00:00,4.192
2020-06-05 16:30:00,NA
2020-06-05 17:00:00,5.243
2020-06-05 17:30:00,NA
2020-06-05 18:00:00,5.897
2020-06-05 18:30:00,NA
2020-06-05 19:00:00,21.04
2020-06-05 19:30:00,NA
2020-06-05 20:00:00,11.77
2020-06-05 20:30:00,NA
2020-06-05 21:00:00,14.61
2020-06-05 21:30:00,NA
2020-06-05 22:00:00,2.494
2020-06-05 22:30:00,NA
2020-06-05 23:00:00,11.13
2020-06-05 23:30:00,NA
2020-06-06 00:00:00,5.902
2020-06-06 00:30:00,NA
2020-06-06 01:00:00,4.256
2020-06-06 01:30:00,NA
2020-06-06 02:00:00,7.622
2020-06-06 02:30:00,NA
2020-06-06 03:00:00,10.26
2020-06-06 03:30:00,NA
2020-06-06 04:00:00,3.279
2020-06-06 04:30:00,NA
2020-06-06 05:00:00,11.78
2020-06-06 05:30:00,NA
2020-06-06 06:00:00,7.333
2020-06-06 06:30:00,NA
2020-06-06 07:00:00,10.78
2020-06-06 07:30:00,NA
2020-06-06 08:00:00,8.69
2020-06-06 08:30:00,NA
2020-06-06 09:00:00,13.14
2020-06-06 09:30:00,NA
2020-06-06 10:00:00,1.697
2020-06-06 10:30:00,NA
2020-06-06 11:00:00,3.448
2020-06-06 11:30:00,NA
2020-06-06 12:00:00,4.07
2020-06-06 12:30:00,NA
2020-06-06 13:00:00,10.17
2020-06-06 13:30:00,NA
2020-06-06 14:00:00,10.71
2020-06-06 14:30:00,NA
2020-06-06 15:00:00,22.3
2020-06-06 15:30:00,NA
2020-06-06 16:00:00,22.98
2020-06-06 16:30:00,NA
2020-06-06 17:00:00,12.65
2020-06-06 17:30:00,NA
2020-06-06 18:00:00,15.62
2020-06-06 18:30:00,NA
2020-06-06 19:00:00,12.74
2020-06-06 19:30:00,NA
2020-06-06 20:00:00,7.968
2020-06-06 20:30:00,NA
2020-06-06 21:00:00,6.831
2020-06-06 21:30:00,NA
2020-06-06 22:00:00,6.981
2020-06-06 22:30:00,NA
2020-06-06 23:00:00,6.725
2020-06-06 23:30:00,NA
2020-06-07 00:00:00,6.104
2020-06-07 00:30:00,NA
2020-06-07 01:00:00,11.03
2020-06-07 01:30:00,NA
2020-06-07 02:00:00,7.055
2020-06-07 02:30:00,NA
2020-06-07 03:00:00,5.484
2020-06-07 03:30:00,NA
2020-06-07 04:00:00,4.744
2020-06-07 04:30:00,NA
2020-06-07 05:00:00,7.711
2020-06-07 05:30:00,NA
2020-06-07 06:00:00,10.64
2020-06-07 06:30:00,NA
2020-06-07 07:00:00,5.826
2020-06-07 07:30:00,NA
2020-06-07 08:00:00,7.905
2020-06-07 08:30:00,NA
2020-06-07 09:00:00,8.77
2020-06-07 09:30:00,NA
2020-06-07 10:00:00,5.31
2020-06-07 10:30:00,NA
2020-06-07 11:00:00,7.527
